生命周期阶段	未消费天数	序号	Push标题	Push文案	SMS文案	是否溢出备选	中文翻译
1-2单	61	08	Time to pick it back up	Your ${couponMinDiscount} is still here for you. Make today a nice comeback.	Your ${couponMinDiscount} is still here for you. Make today a nice comeback.	否	你的 ${couponMinDiscount} 还在。今天刚好可以体面地回来一下。
1-2单	7	09	Your next sip is lined up	Your ${couponMinDiscount} is available now. Claim it and keep building your ritual.	Your ${couponMinDiscount} is available now. Claim it and keep building your ritual.	是	你的 ${couponMinDiscount} 现在就能用。领一下，把这个习惯继续养起来。
1-2单	14	10	Let's keep this going	Your ${couponMinDiscount} just arrived. Stop in and stay on the right track.	Your ${couponMinDiscount} just arrived. Stop in and stay on the right track.	是	你的 ${couponMinDiscount} 刚到账。回来一下，把状态继续保持住。
1-2单	21	11	Still in your coffee era	Your ${couponMinDiscount} is ready in the app. Pick it up today and keep the pace going.	Your ${couponMinDiscount} is ready in the app. Pick it up today and keep the pace going.	是	你的 ${couponMinDiscount} 已经准备好了。今天顺手用掉，把节奏继续往前带。
1-2单	31	12	A comeback worth taking	Your ${couponMinDiscount} is set for you today. Let the routine slide back into place.	Your ${couponMinDiscount} is set for you today. Let the routine slide back into place.	是	你的 ${couponMinDiscount} 今天已到位。顺势回来，让原来的习惯自然接上。
1-2单	41	13	Your coffee ritual misses you	Your ${couponMinDiscount} is live and waiting. Use it to bring that rhythm back.	Your ${couponMinDiscount} is live and waiting. Use it to bring that rhythm back.	是	你的 ${couponMinDiscount} 已上线并在等你。用起来，把熟悉的节奏带回来。
1-2单	51	14	Good habits deserve perks	Your ${couponMinDiscount} just went live. Make it count with a good break today.	Your ${couponMinDiscount} just went live. Make it count with a good break today.	是	你的 ${couponMinDiscount} 刚上线。今天给自己一个像样的休息时刻。
1-2单	61	15	Back on your flow	Your ${couponMinDiscount} is still ready to use. Rejoin the routine at your pace.	Your ${couponMinDiscount} is still ready to use. Rejoin the routine at your pace.	是	你的 ${couponMinDiscount} 依然可用。按你的节奏，重新回到熟悉的日常里。
2-3单	3	01	Stay in the groove	Your ${couponMinDiscount} is ready now. Keep your habit moving with one easy order.	Your ${couponMinDiscount} is ready now. Keep your habit moving with one easy order.	否	你的 ${couponMinDiscount} 已经就位。顺手下一单，把这个习惯继续维持住。
2-3单	7	02	Your routine looks better with this	Your ${couponMinDiscount} just landed. Use it today and keep the rhythm close.	Your ${couponMinDiscount} just landed. Use it today and keep the rhythm close.	否	你的 ${couponMinDiscount} 刚到账。今天用掉，让熟悉的节奏保持在线。
2-3单	14	03	Back to your regular rhythm	Your ${couponMinDiscount} is live in the app. Sip your way back into the flow.	Your ${couponMinDiscount} is live in the app. Sip your way back into the flow.	否	你的 ${couponMinDiscount} 已上线。顺势回来，把节奏重新接上。
2-3单	21	04	Your habit says hi	Your ${couponMinDiscount} is ready to use. Bring back that familiar rhythm today.	Your ${couponMinDiscount} is ready to use. Bring back that familiar rhythm today.	否	你的 ${couponMinDiscount} 已经可以用了。今天把熟悉的节奏重新找回来。
2-3单	31	05	A solid excuse to return	Your ${couponMinDiscount} is here for your next stop. Keep the routine nicely in motion.	Your ${couponMinDiscount} is here for your next stop. Keep the routine nicely in motion.	否	你的 ${couponMinDiscount} 已经为下一次准备好。顺手回来，让日常节奏继续运转。
2-3单	41	06	You've still got it	Your ${couponMinDiscount} just arrived. Settle back into the habit today.	Your ${couponMinDiscount} just arrived. Settle back into the habit today.	否	你的 ${couponMinDiscount} 刚到账。今天回来一下，很自然就能接回原来的习惯。
2-3单	51	07	Make it part of today	Your ${couponMinDiscount} is waiting in the app. Let it find its way back into your day.	Your ${couponMinDiscount} is waiting in the app. Let it find its way back into your day.	否	你的 ${couponMinDiscount} 正在等你。让它自然地回到今天的安排里。
2-3单	61	08	Keep the ritual alive	Your ${couponMinDiscount} is still available for you. Time to get the routine rolling again.	Your ${couponMinDiscount} is still available for you. Time to get the routine rolling again.	否	你的 ${couponMinDiscount} 还在。是时候把这个日常节奏重新转起来了。
2-3单	7	09	Ready for another round	Your ${couponMinDiscount} is set for today. Bring it back with a quick little comeback.	Your ${couponMinDiscount} is set for today. Bring it back with a quick little comeback.	是	你的 ${couponMinDiscount} 今天可用。轻松回来一下，就能重新接上。
2-3单	14	10	This one fits the routine	Your ${couponMinDiscount} just showed up. Claim it and stay in sync with your habit.	Your ${couponMinDiscount} just showed up. Claim it and stay in sync with your habit.	是	你的 ${couponMinDiscount} 刚到账。领一下，继续和你的日常节奏保持同步。
2-3单	21	11	Your rhythm is waiting	Your ${couponMinDiscount} is ready in the app. Keep the ritual going today.	Your ${couponMinDiscount} is ready in the app. Keep the ritual going today.	是	你的 ${couponMinDiscount} 已经准备好。今天顺手用掉，把这个习惯继续保持下去。
2-3单	31	12	Today's perk feels right	Your ${couponMinDiscount} is live now. Give your schedule a little bright spot today.	Your ${couponMinDiscount} is live now. Give your schedule a little bright spot today.	是	你的 ${couponMinDiscount} 已上线。给今天的安排加一个小亮点。
2-3单	41	13	Your next break looks easy	Your ${couponMinDiscount} has landed for you. Use it and get back into your rhythm.	Your ${couponMinDiscount} has landed for you. Use it and get back into your rhythm.	是	你的 ${couponMinDiscount} 已到账。用起来，重新回到你熟悉的节奏里。
2-3单	51	14	One more reason to return	Your ${couponMinDiscount} is ready to go. Keep the routine feeling effortless.	Your ${couponMinDiscount} is ready to go. Keep the routine feeling effortless.	是	你的 ${couponMinDiscount} 已经可以用了。顺手回来，让这个习惯继续保持轻松自然。
2-3单	61	15	Still a Good Day to Come Back	Your ${couponMinDiscount} is available now. Make your way back today.	Your ${couponMinDiscount} is available now. Make your way back today.	是	你的 ${couponMinDiscount} 现在可用。今天回来，刚刚好。
